transmission:T: -Re(T) vs lambda

lambda(nm), -Re(T)
1215.48, 0.357969
1216.48, 0.354926
1217.48, 0.35179
1218.48, 0.348551
1219.48, 0.345215
1220.48, 0.341802
1221.48, 0.33834
1222.48, 0.334859
1223.48, 0.331375
1224.48, 0.327893
1225.48, 0.324402
1226.48, 0.320882
1227.48, 0.317316
1228.49, 0.313693
1229.49, 0.310018
1230.49, 0.306309
1231.49, 0.302595
1232.49, 0.298904
1233.49, 0.295257
1234.49, 0.291661
1235.49, 0.288109
1236.49, 0.284586
1237.49, 0.281073
1238.49, 0.27756
1239.49, 0.274045
1240.49, 0.270544
1241.49, 0.267079
1242.49, 0.263679
1243.5, 0.260365
1244.5, 0.257148
1245.5, 0.254026
1246.5, 0.250986
1247.5, 0.248009
1248.5, 0.245079
1249.5, 0.24219
1250.5, 0.239347
1251.5, 0.236567
1252.5, 0.233873
1253.5, 0.231287
1254.5, 0.228824
1255.5, 0.226487
1256.5, 0.224265
1257.51, 0.222141
1258.51, 0.220095
1259.51, 0.218113
1260.51, 0.21619
1261.51, 0.214333
1262.51, 0.212558
1263.51, 0.210886
1264.51, 0.209334
1265.51, 0.207911
1266.51, 0.206613
1267.51, 0.205428
1268.51, 0.204335
1269.51, 0.203314
1270.51, 0.20235
1271.51, 0.201439
1272.52, 0.200589
1273.52, 0.199814
1274.52, 0.199133
1275.52, 0.198559
1276.52, 0.1981
1277.52, 0.197751
1278.52, 0.197496
1279.52, 0.197315
1280.52, 0.197188
1281.52, 0.1971
1282.52, 0.197046
1283.52, 0.197033
1284.52, 0.197074
1285.52, 0.197186
1286.52, 0.197383
1287.53, 0.197673
1288.53, 0.19805
1289.53, 0.198503
1290.53, 0.199011
1291.53, 0.199555
1292.53, 0.200118
1293.53, 0.200695
1294.53, 0.201288
1295.53, 0.20191
1296.53, 0.202578
1297.53, 0.203305
1298.53, 0.204102
1299.53, 0.204969
1300.53, 0.205896
1301.53, 0.206865
1302.54, 0.207858
1303.54, 0.208858
1304.54, 0.209853
1305.54, 0.210845
1306.54, 0.211842
1307.54, 0.212858
1308.54, 0.213911
1309.54, 0.215012
1310.54, 0.216168
1311.54, 0.217374
1312.54, 0.218617
1313.54, 0.219881
1314.54, 0.221146
1315.54, 0.222399
1316.54, 0.223634
1317.55, 0.224854
1318.55, 0.226072
1319.55, 0.227302
1320.55, 0.22856
1321.55, 0.229858
1322.55, 0.231199
1323.55, 0.232576
1324.55, 0.233976
1325.55, 0.235383
1326.55, 0.236779
1327.55, 0.238152
1328.55, 0.2395
1329.55, 0.240826
1330.55, 0.242142
1331.55, 0.243464
1332.56, 0.244808
1333.56, 0.246184
1334.56, 0.247595
1335.56, 0.249035
1336.56, 0.250492
1337.56, 0.25195
1338.56, 0.253391
1339.56, 0.254805
1340.56, 0.256189
1341.56, 0.257545
1342.56, 0.258885
1343.56, 0.260224
